Run,Center,ReleaseDate,FileType,FileName,FileSize,Download_path,Experiment,Title,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,BioProject,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,Organization
CRR955854,NGDC,2024-11-23,fastq,CRR955854_f1.fq.gz|CRR955854_r2.fq.gz,2057339225|2171529247,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955854/CRR955854_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955854/CRR955854_r2.fq.gz,CRX867005,LGB7,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189193,Metagenome or environmental sample,749906,gut metagenome,LGB7,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955832,NGDC,2024-11-23,fastq,CRR955832_f1.fq.gz|CRR955832_r2.fq.gz,1805965438|1887606716,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955832/CRR955832_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955832/CRR955832_r2.fq.gz,CRX867027,M026,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189215,Metagenome or environmental sample,749906,gut metagenome,M026,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955825,NGDC,2024-11-23,fastq,CRR955825_f1.fq.gz|CRR955825_r2.fq.gz,1894426241|1984146581,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955825/CRR955825_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955825/CRR955825_r2.fq.gz,CRX867034,M037,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189222,Metagenome or environmental sample,749906,gut metagenome,M037,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955814,NGDC,2024-11-23,fastq,CRR955814_f1.fq.gz|CRR955814_r2.fq.gz,1885290158|1922595391,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955814/CRR955814_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955814/CRR955814_r2.fq.gz,CRX867045,N20,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189247,Metagenome or environmental sample,749906,gut metagenome,N20,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955808,NGDC,2024-11-23,fastq,CRR955808_f1.fq.gz|CRR955808_r2.fq.gz,1927015588|2060150284,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955808/CRR955808_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955808/CRR955808_r2.fq.gz,CRX867051,N01,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189232,Metagenome or environmental sample,749906,gut metagenome,N01,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955872,NGDC,2024-11-23,fastq,CRR955872_f1.fq.gz|CRR955872_r2.fq.gz,1959766906|2045583900,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955872/CRR955872_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955872/CRR955872_r2.fq.gz,CRX866987,LB011,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189175,Metagenome or environmental sample,749906,gut metagenome,LB011,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955862,NGDC,2024-11-23,fastq,CRR955862_f1.fq.gz|CRR955862_r2.fq.gz,1950115877|1995511022,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955862/CRR955862_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955862/CRR955862_r2.fq.gz,CRX866997,LGA8,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189185,Metagenome or environmental sample,749906,gut metagenome,LGA8,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955822,NGDC,2024-11-23,fastq,CRR955822_f1.fq.gz|CRR955822_r2.fq.gz,1895990244|1972410212,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955822/CRR955822_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955822/CRR955822_r2.fq.gz,CRX867037,M044,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189225,Metagenome or environmental sample,749906,gut metagenome,M044,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955820,NGDC,2024-11-23,fastq,CRR955820_f1.fq.gz|CRR955820_r2.fq.gz,2207707146|2246375914,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955820/CRR955820_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955820/CRR955820_r2.fq.gz,CRX867039,M047,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189227,Metagenome or environmental sample,749906,gut metagenome,M047,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955800,NGDC,2024-11-23,fastq,CRR955800_f1.fq.gz|CRR955800_r2.fq.gz,2098976995|2153763999,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955800/CRR955800_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955800/CRR955800_r2.fq.gz,CRX867059,N05,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189234,Metagenome or environmental sample,749906,gut metagenome,N05,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955869,NGDC,2024-11-23,fastq,CRR955869_f1.fq.gz|CRR955869_r2.fq.gz,1888925440|1983933777,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955869/CRR955869_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955869/CRR955869_r2.fq.gz,CRX866990,LGA1,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189178,Metagenome or environmental sample,749906,gut metagenome,LGA1,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955868,NGDC,2024-11-23,fastq,CRR955868_f1.fq.gz|CRR955868_r2.fq.gz,2233987093|2309515314,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955868/CRR955868_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955868/CRR955868_r2.fq.gz,CRX866991,LGA2,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189179,Metagenome or environmental sample,749906,gut metagenome,LGA2,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955855,NGDC,2024-11-23,fastq,CRR955855_f1.fq.gz|CRR955855_r2.fq.gz,1849115627|1929201762,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955855/CRR955855_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955855/CRR955855_r2.fq.gz,CRX867004,LGB6,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189192,Metagenome or environmental sample,749906,gut metagenome,LGB6,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955839,NGDC,2024-11-23,fastq,CRR955839_f1.fq.gz|CRR955839_r2.fq.gz,1770962034|1810659027,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955839/CRR955839_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955839/CRR955839_r2.fq.gz,CRX867020,M019,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189208,Metagenome or environmental sample,749906,gut metagenome,M019,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955834,NGDC,2024-11-23,fastq,CRR955834_f1.fq.gz|CRR955834_r2.fq.gz,1762793010|1821440267,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955834/CRR955834_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955834/CRR955834_r2.fq.gz,CRX867025,M024,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189213,Metagenome or environmental sample,749906,gut metagenome,M024,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955826,NGDC,2024-11-23,fastq,CRR955826_f1.fq.gz|CRR955826_r2.fq.gz,1848176693|1910635160,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955826/CRR955826_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955826/CRR955826_r2.fq.gz,CRX867033,M034,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189221,Metagenome or environmental sample,749906,gut metagenome,M034,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955853,NGDC,2024-11-23,fastq,CRR955853_f1.fq.gz|CRR955853_r2.fq.gz,1607335333|1689038835,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955853/CRR955853_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955853/CRR955853_r2.fq.gz,CRX867006,LGB9,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189194,Metagenome or environmental sample,749906,gut metagenome,LGB9,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955852,NGDC,2024-11-23,fastq,CRR955852_f1.fq.gz|CRR955852_r2.fq.gz,1855810170|1954465469,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955852/CRR955852_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955852/CRR955852_r2.fq.gz,CRX867007,M002,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189195,Metagenome or environmental sample,749906,gut metagenome,M002,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955846,NGDC,2024-11-23,fastq,CRR955846_f1.fq.gz|CRR955846_r2.fq.gz,1750470889|1821865351,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955846/CRR955846_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955846/CRR955846_r2.fq.gz,CRX867013,M009,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189201,Metagenome or environmental sample,749906,gut metagenome,M009,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955843,NGDC,2024-11-23,fastq,CRR955843_f1.fq.gz|CRR955843_r2.fq.gz,1673681986|1736291708,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955843/CRR955843_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955843/CRR955843_r2.fq.gz,CRX867016,M012,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189204,Metagenome or environmental sample,749906,gut metagenome,M012,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955827,NGDC,2024-11-23,fastq,CRR955827_f1.fq.gz|CRR955827_r2.fq.gz,1892553417|1979294953,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955827/CRR955827_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955827/CRR955827_r2.fq.gz,CRX867032,M033,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189220,Metagenome or environmental sample,749906,gut metagenome,M033,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955807,NGDC,2024-11-23,fastq,CRR955807_f1.fq.gz|CRR955807_r2.fq.gz,1762007093|1832283712,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955807/CRR955807_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955807/CRR955807_r2.fq.gz,CRX867052,N10,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189239,Metagenome or environmental sample,749906,gut metagenome,N10,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955877,NGDC,2024-11-23,fastq,CRR955877_f1.fq.gz|CRR955877_r2.fq.gz,2219051689|2334812256,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955877/CRR955877_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955877/CRR955877_r2.fq.gz,CRX866982,LA003,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189170,Metagenome or environmental sample,749906,gut metagenome,LA003,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955835,NGDC,2024-11-23,fastq,CRR955835_f1.fq.gz|CRR955835_r2.fq.gz,1906684127|2017544730,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955835/CRR955835_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955835/CRR955835_r2.fq.gz,CRX867024,M023,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189212,Metagenome or environmental sample,749906,gut metagenome,M023,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955815,NGDC,2024-11-23,fastq,CRR955815_f1.fq.gz|CRR955815_r2.fq.gz,2126266286|2218874929,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955815/CRR955815_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955815/CRR955815_r2.fq.gz,CRX867044,N18,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189245,Metagenome or environmental sample,749906,gut metagenome,N18,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955813,NGDC,2024-11-23,fastq,CRR955813_f1.fq.gz|CRR955813_r2.fq.gz,1982157575|2144510053,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955813/CRR955813_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955813/CRR955813_r2.fq.gz,CRX867046,N22,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189249,Metagenome or environmental sample,749906,gut metagenome,N22,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955809,NGDC,2024-11-23,fastq,CRR955809_f1.fq.gz|CRR955809_r2.fq.gz,2531740546|2751183481,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955809/CRR955809_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955809/CRR955809_r2.fq.gz,CRX867050,N07,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189236,Metagenome or environmental sample,749906,gut metagenome,N07,CRA013605,Shanghai Jiaotong University School of Medicine
