Run,Center,ReleaseDate,FileType,FileName,FileSize,Download_path,Experiment,Title,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,BioProject,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,Organization
CRR955798,NGDC,2024-11-23,fastq,CRR955798_f1.fq.gz|CRR955798_r2.fq.gz,2306630231|2427322289,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955798/CRR955798_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955798/CRR955798_r2.fq.gz,CRX867061,N09,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189238,Metagenome or environmental sample,749906,gut metagenome,N09,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955797,NGDC,2024-11-23,fastq,CRR955797_f1.fq.gz|CRR955797_r2.fq.gz,2220650218|2330286065,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955797/CRR955797_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955797/CRR955797_r2.fq.gz,CRX867062,M052,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189230,Metagenome or environmental sample,749906,gut metagenome,M052,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955831,NGDC,2024-11-23,fastq,CRR955831_f1.fq.gz|CRR955831_r2.fq.gz,1857396787|1954179652,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955831/CRR955831_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955831/CRR955831_r2.fq.gz,CRX867028,M027,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189216,Metagenome or environmental sample,749906,gut metagenome,M027,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955817,NGDC,2024-11-23,fastq,CRR955817_f1.fq.gz|CRR955817_r2.fq.gz,2606497363|2682374407,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955817/CRR955817_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955817/CRR955817_r2.fq.gz,CRX867042,N11,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189240,Metagenome or environmental sample,749906,gut metagenome,N11,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955812,NGDC,2024-11-23,fastq,CRR955812_f1.fq.gz|CRR955812_r2.fq.gz,1875151627|1909466053,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955812/CRR955812_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955812/CRR955812_r2.fq.gz,CRX867047,N25,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189250,Metagenome or environmental sample,749906,gut metagenome,N25,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955801,NGDC,2024-11-23,fastq,CRR955801_f1.fq.gz|CRR955801_r2.fq.gz,2151019339|2191136824,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955801/CRR955801_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955801/CRR955801_r2.fq.gz,CRX867058,N03,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189233,Metagenome or environmental sample,749906,gut metagenome,N03,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955865,NGDC,2024-11-23,fastq,CRR955865_f1.fq.gz|CRR955865_r2.fq.gz,2374198151|2463300899,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955865/CRR955865_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955865/CRR955865_r2.fq.gz,CRX866994,LGA5,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189182,Metagenome or environmental sample,749906,gut metagenome,LGA5,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955836,NGDC,2024-11-23,fastq,CRR955836_f1.fq.gz|CRR955836_r2.fq.gz,1631754387|1682464871,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955836/CRR955836_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955836/CRR955836_r2.fq.gz,CRX867023,M022,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189211,Metagenome or environmental sample,749906,gut metagenome,M022,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955818,NGDC,2024-11-23,fastq,CRR955818_f1.fq.gz|CRR955818_r2.fq.gz,2089333643|2124790167,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955818/CRR955818_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955818/CRR955818_r2.fq.gz,CRX867041,M051,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189229,Metagenome or environmental sample,749906,gut metagenome,M051,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955876,NGDC,2024-11-23,fastq,CRR955876_f1.fq.gz|CRR955876_r2.fq.gz,2394926578|2414069916,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955876/CRR955876_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955876/CRR955876_r2.fq.gz,CRX866983,LA006,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189171,Metagenome or environmental sample,749906,gut metagenome,LA006,CRA013605,Shanghai Jiaotong University School of Medicine
